"shift_code","description","work_hours","break_hours","in1","out1","in2","out2"
"A33","04:00PM-01:30AM","9","0.5","16:00:59","20:30:00","21:00:00","01:30:59"
"A34","04:30PM-02:00AM","9","0.5","16:30:59","21:00:00","21:30:00","02:00:59"
"A35","05:00PM-02:30AM","9","0.5","17:00:59","21:30:00","22:00:00","02:30:59"
"A36","05:30PM-03:00AM","9","0.5","17:30:59","22:00:00","22:30:00","03:00:59"
"A37","06:00PM-03:30AM","9","0.5","18:00:59","22:30:00","23:00:00","03:30:59"
"A41","08:00PM-05:30AM","9","0.5","20:00:59","00:30:00","01:00:00","05:30:59"
"A42","08:30PM-06:00AM","9","0.5","20:30:59","01:00:00","01:30:00","06:00:59"
"A43","09:00PM-06:30AM","9","0.5","21:00:59","01:30:00","02:00:00","06:30:59"
"A47","11:00PM-08:30AM","9","0.5","23:00:59","03:30:00","04:00:00","08:30:59"
"A40","07:30PM-05:00AM","9","0.5","19:30:59","00:00:01","00:30:00","05:00:59"
"S47","11:00PM-08:30AM","9","0.5","23:00:59","03:30:00","04:00:00","08:30:59"
"S27","01:00PM-11:30PM","9","0.5","13:00:59","17:30:00","18:00:00","22:30:59"
"GD4","8:00AM - 5:00PM","8","1","08:00:00","12:00:01","13:00:00","17:00:00"
"XX","8:00-6:00 (NGOC)","8","1","08:00:00","12:00:01","13:00:00","17:00:00"
"A05","02:00AM - 11:30AM","9","0.5","02:00:59","06:30:00","07:00:00","11:30:59"
"A23","11:00AM-08:30PM","9","0.5","11:00:59","15:30:00","16:00:00","20:30:59"
"A09","04:00AM-01:30PM","9","0.5","04:00:59","08:30:00","09:00:00","13:30:59"
"A46","10:30PM-08:00AM","9","0.5","22:30:59","03:00:00","03:30:00","08:00:59"
"R03","01:00AM - 9:00AM","8","0.5","01:00:00","05:30:00","06:00:00","09:00:00"
"R05","02:00AM - 10:00AM","8","0.5","02:00:00","06:30:00","07:00:00","10:00:00"
"A27","01:00PM-10:30PM","9","0.5","13:00:59","17:30:00","18:00:00","22:30:59"
